Time,RX Data Rate,TX Data Rate,Disk Writes,Space_Available
802,387,4K,28032415,29818412
803,397,4K,28032423,29818412
804,392,3K,28032435,29818412
805,387,3K,28032451,29818364
806,430,3K,28032459,29818364
807,420,4K,28032475,29818364
808,407,4K,28032483,29818364
809,394,4K,28032499,29818364
810,464,4K,28032511,29818364
811,463,3K,28032519,29818364
812,463,3K,28032531,29818344
813,463,3K,28032607,29818344
814,459,3K,28032656,29818320
815,429,3K,28032664,29818320
816,415,4K,28032676,29818320
817,404,4K,28032684,29818320
818,405,4K,28032692,29818320
819,409,4K,28032700,29818320
820,404,6K,28032708,29818320
821,388,5K,28032720,29818320
822,441,5K,28032728,29818320
823,429,5K,28032736,29818320
824,429,6K,28033878,29818284
825,430,6K,28033890,29818320
826,432,6K,28033898,29818320
827,425,5K,28033910,29818320
828,401,5K,28033918,29818320
829,388,5K,28033930,29818320
830,376,4K,28033938,29818320
831,352,4K,28034502,29818340
832,349,4K,28034510,29818340
833,353,5K,28034522,29818352
834,368,5K,28034530,29818352
835,432,5K,28034586,29818372
836,449,4K,28034886,29818372
837,456,4K,28034894,29818372
838,458,4K,28034902,29818372
839,451,4K,28034918,29818372
840,427,5K,28034930,29818372
841,413,5K,28034938,29818372
842,391,4K,28034950,29818372
843,382,4K,28034958,29818372
844,358,4K,28034966,29818372
845,355,4K,28036218,29818372
846,357,3K,28036230,29818372
847,357,3K,28036238,29818372
848,360,5K,28036246,29818372
849,370,4K,28036450,29818372
850,362,4K,28036474,29818344
851,409,4K,28036482,29818344
852,397,4K,28036494,29818156
853,384,4K,28036502,29818320
854,363,3K,28036518,29818340
855,352,3K,28036526,29818340
856,334,4K,28036968,29818340
857,331,4K,28036976,29818340
858,326,4K,28036984,29818340
859,338,6K,28036992,29818340
860,358,6K,28037004,29818340
861,371,5K,28037012,29818340
862,367,5K,28037020,29818340
863,357,5K,28037028,29818340
864,338,5K,28037040,29818340
865,335,5K,28037048,29814208
866,327,5K,28037056,29814208
867,317,5K,28037748,29814244
868,303,7K,28037774,29814208
869,296,6K,28037794,29814236
870,287,6K,28037802,29814236
871,279,6K,28037974,29814236
872,281,6K,28037986,29814236
873,317,6K,28037994,29814236
874,337,6K,28038006,29814236
875,354,5K,28038046,29814236
876,345,5K,28038054,29814236
