Time,APM1 CPU,APM1 Memory,APM2 CPU,APM2 Memory,APM3 CPU,APM3 Memory,APM4 CPU,APM4 Memory,APM5 CPU,APM5 Memory,APM6 CPU,APM6 Memory
655,0.0,0.0,0.0,0.0,36.3,0.0,2.6,0.0,12.7,4.1,0.0,3.9
660,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,12.9,4.1,0.0,3.9
665,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.1,4.1,0.0,4.0
670,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.3,4.1,0.0,4.0
675,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.5,4.1,0.0,4.1
680,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.7,4.1,0.0,4.1
685,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.9,4.1,0.0,4.1
690,0.0,0.0,0.0,0.0,36.6,0.0,2.6,0.0,13.9,0.0,0.0,4.1
695,0.0,0.0,0.0,0.0,36.7,0.0,2.6,0.0,13.8,0.0,0.0,4.2
700,0.0,0.0,0.0,0.0,36.4,0.0,2.9,0.0,13.7,0.0,0.0,4.2
705,0.0,0.0,0.0,0.0,36.2,0.0,3.4,0.0,13.6,0.0,0.0,4.2
710,0.0,0.0,0.0,0.0,35.9,0.0,3.9,0.0,13.5,0.0,0.0,4.3
715,0.0,0.0,0.0,0.0,35.7,0.0,4.4,0.0,13.4,0.0,0.0,4.3
720,0.0,0.0,0.0,0.0,35.4,0.0,4.9,0.0,13.3,0.0,0.0,4.3
725,0.0,0.0,0.0,0.0,35.3,0.0,5.3,0.0,13.2,0.0,0.0,4.3
730,0.0,0.0,0.0,0.0,35.4,0.0,5.5,0.0,13.1,0.0,0.0,4.3
735,0.0,0.0,0.0,0.0,35.4,0.0,5.8,0.0,13.0,0.0,0.0,4.4
740,0.0,0.0,0.0,0.0,35.4,0.0,6.0,0.0,12.9,0.0,0.0,4.4
745,0.0,0.0,0.0,0.0,35.5,0.0,6.2,0.0,12.8,0.0,0.0,4.4
750,0.0,0.0,0.0,0.0,35.5,0.0,6.5,0.0,12.8,0.0,0.0,4.5
755,0.0,0.0,0.0,0.0,35.5,0.0,6.7,0.0,12.7,0.0,0.0,4.5
760,0.0,0.0,0.0,0.0,35.5,0.0,6.9,0.0,12.6,4.0,0.0,4.5
